,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2016-08-31,3708,986468,147476966,149.5,149.5,149.5,149.5,0.0,423
1,2016-09-01,3708,3010606,421582310,152.0,152.5,135.0,135.5,-14.0,1807
2,2016-09-02,3708,1512271,197200592,135.5,137.5,124.0,129.0,-6.5,1069
3,2016-09-05,3708,585669,76240801,131.5,132.5,127.0,129.0,0.0,450
4,2016-09-06,3708,597589,76507714,127.5,130.5,124.5,128.5,-0.5,531
5,2016-09-08,3708,515190,67250390,129.0,132.0,129.0,130.5,1.5,368
6,2016-09-09,3708,756087,96891591,129.5,131.0,127.0,127.5,-3.0,608
7,2016-09-12,3708,576193,70995831,126.5,126.5,121.5,122.5,-3.5,480
8,2016-09-13,3708,804030,95844570,124.0,124.5,116.5,117.5,-5.0,615
9,2016-09-14,3708,1282350,144206572,116.0,117.5,110.0,110.5,-7.0,963
10,2016-09-19,3708,843637,94483707,111.0,115.5,110.5,111.0,0.5,670
11,2016-09-20,3708,501000,56154500,111.0,113.5,110.5,113.5,2.5,352
12,2016-09-21,3708,1255200,148952300,113.5,121.0,113.0,120.0,6.5,997
13,2016-09-22,3708,489292,59129332,120.5,123.0,119.0,121.5,1.5,378
14,2016-09-26,3708,256291,30254129,120.0,120.5,117.0,119.0,-2.0,227
15,2016-09-29,3708,415848,50140032,119.5,123.5,118.0,122.5,3.5,346
16,2016-09-30,3708,356073,43238833,121.5,122.5,120.0,122.0,-0.5,290
17,2016-10-03,3708,227250,27362625,122.0,123.0,119.0,119.0,-3.0,190
18,2016-10-04,3708,329280,38930180,120.0,120.5,117.0,118.5,-0.5,287
19,2016-10-05,3708,3736861,405572416,115.0,117.0,107.0,107.0,-11.5,1986
20,2016-10-06,3708,1655500,172126500,103.0,106.0,102.5,105.0,-2.0,1015
21,2016-10-07,3708,3477979,338830612,105.0,105.0,94.5,94.5,-10.5,2394
22,2016-10-12,3708,5096276,393541434,79.0,79.6,76.6,76.6,-8.5,2818
23,2016-10-13,3708,6701755,498113127,76.6,78.2,69.6,75.8,-0.8,4771
24,2016-10-14,3708,1559486,117544664,75.5,77.2,74.0,74.5,-1.3,1060
25,2016-10-17,3708,1841020,129791638,74.5,75.5,67.1,67.1,-7.4,1092
26,2016-10-18,3708,1990060,130364520,63.8,67.4,63.8,67.0,-0.1,1218
27,2016-10-19,3708,926800,59450939,67.0,67.0,62.9,65.3,-1.7,488
28,2016-10-20,3708,455600,30444800,66.0,68.0,66.0,68.0,2.7,264
29,2016-10-21,3708,884335,62453385,68.1,72.0,68.1,71.3,3.3,499
30,2016-10-24,3708,274013,19188026,70.9,70.9,69.5,69.6,-1.7,165
31,2016-10-25,3708,172000,12155800,69.6,71.3,69.6,71.0,1.4,113
32,2016-10-26,3708,156646,11150894,70.0,71.5,70.0,71.2,0.2,102
33,2016-10-28,3708,260000,18709100,72.5,72.5,71.6,72.1,0.1,158
34,2016-10-31,3708,276100,20383209,72.1,74.9,72.1,74.6,2.5,171
35,2016-11-01,3708,487100,36030650,75.0,75.5,71.2,71.2,-3.4,240
36,2016-11-02,3708,1238045,86216094,71.0,71.0,68.2,68.8,-2.4,778
37,2016-11-03,3708,1006397,70093087,70.0,71.8,68.1,71.0,2.2,618
38,2016-11-04,3708,449520,31455146,71.4,71.4,69.3,70.0,-1.0,304
39,2016-11-07,3708,600391,42794537,72.0,72.1,69.3,71.2,1.2,409
40,2016-11-08,3708,618671,43063232,71.3,71.7,68.7,69.2,-2.0,440
41,2016-11-09,3708,1580346,101191562,69.2,70.0,62.3,62.9,-6.3,877
42,2016-11-10,3708,874731,56359100,63.6,66.0,63.3,64.4,1.5,659
43,2016-11-11,3708,749418,46306182,60.5,62.9,60.5,62.4,-2.0,464
44,2016-11-14,3708,400016,25327008,62.4,64.7,62.4,62.5,0.1,295
45,2016-11-15,3708,334200,20939000,61.7,63.9,61.7,63.6,1.1,239
46,2016-11-16,3708,262619,16703543,64.0,64.5,63.1,63.4,-0.2,222
47,2016-11-17,3708,331605,20694106,62.8,63.3,61.5,62.3,-1.1,280
48,2016-11-18,3708,469341,29643126,61.8,64.3,61.8,64.0,1.7,340
49,2016-11-21,3708,296000,18872100,64.1,64.6,63.1,63.8,-0.2,255
50,2016-11-22,3708,854570,58255554,64.4,70.1,64.0,70.1,6.3,505
